pop_idx,regime,rho,beta,N,T,sigma,jaccard,beta,alpha,epsilon,nr_pop,nr_ind
,partial,0.0,0.8,200.0,20.0,0.25,0.025474747474748698,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.02619191919192051,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.03571717171717448,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.025202020202021367,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.029333333333335047,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.026050505050506243,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.02632323232323357,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.021474747474748153,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.021555555555556275,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.027333333333334816,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.023474747474748463,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.025818181818182996,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.026646464646465952,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.023252525252526197,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.033373737373739526,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.02495959595959706,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.020050505050505606,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.02429292929293027,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.020858585858586572,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.01893939393939437,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.022151515151515967,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.025313131313132474,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.02427272727272829,0.8,0.0,100,,
,partial,0.0,0.8,200.0,20.0,0.25,0.043343434343438195,0.8,0.0,100,,
,partial,0.0,0.0,200.0,20.0,1.0,0.004848484848484797,0.0,0.0,100,,
,partial,0.0,0.0,200.0,20.0,1.0,0.005191919191919126,0.0,0.0,100,,
,partial,0.0,0.0,200.0,20.0,1.0,0.005080808080808018,0.0,0.0,100,,
,partial,0.0,0.0,200.0,20.0,1.0,0.005191919191919125,0.0,0.0,100,,
,partial,0.0,0.0,200.0,20.0,1.0,0.005222222222222157,0.0,0.0,100,,
